Date,Open,High,Low,Close,Adj Close,Volume
2000-05-26,45.687500,45.687500,45.687500,45.687500,35.607479,40000
2000-05-30,47.187500,47.468750,47.187500,47.468750,36.995739,104200
2000-05-31,47.390625,47.390625,47.390625,47.390625,36.934845,400
2000-06-01,47.937500,48.250000,47.937500,48.250000,37.604630,20400
2000-06-02,50.296875,50.328125,50.046875,50.125000,39.065937,83600
2000-06-05,49.843750,49.851563,49.703125,49.742188,38.767586,131800
2000-06-06,49.703125,50.062500,49.437500,49.437500,38.530132,239000
2000-06-07,49.015625,49.476563,49.015625,49.382813,38.487499,3000
2000-06-08,49.453125,49.507813,49.156250,49.156250,38.310928,603400
2000-06-09,49.578125,49.851563,49.578125,49.632813,38.682350,3600
2000-06-12,49.812500,49.812500,48.789063,48.804688,38.036930,146200
2000-06-13,49.046875,49.046875,48.562500,48.914063,38.122181,206200
2000-06-14,49.640625,49.640625,49.000000,49.000000,38.189156,71600
2000-06-15,49.000000,49.750000,48.875000,49.750000,38.773705,450600
2000-06-16,49.593750,49.890625,49.468750,49.562500,38.627544,604600
2000-06-19,49.578125,50.484375,49.500000,50.390625,39.272972,12400
2000-06-20,50.562500,50.750000,50.257813,50.695313,39.510422,155200
2000-06-21,50.500000,50.656250,50.460938,50.539063,39.415089,201200
2000-06-22,49.859375,50.039063,49.156250,49.156250,38.336639,460800
2000-06-23,49.148438,49.257813,48.695313,48.750000,38.019810,301000
2000-06-26,49.109375,49.109375,48.812500,48.992188,38.208694,54400
2000-06-27,49.125000,49.195313,48.562500,48.687500,37.971081,97600
2000-06-28,48.640625,49.234375,48.640625,49.234375,38.397575,5000
2000-06-29,49.015625,49.500000,48.867188,49.468750,38.580341,364000
2000-06-30,48.437500,48.515625,48.437500,48.515625,37.837029,8600
2000-07-03,48.515625,49.164063,48.500000,49.164063,38.342739,105200
2000-07-05,48.703125,48.929688,48.546875,48.546875,37.861401,10000
2000-07-06,48.609375,49.070313,48.484375,49.070313,38.269619,815200
2000-07-07,49.359375,49.820313,49.359375,49.718750,38.775345,53800
2000-07-10,50.085938,50.429688,50.046875,50.382813,39.293240,204400
2000-07-11,50.281250,50.890625,50.281250,50.703125,39.543060,265000
2000-07-12,51.093750,51.421875,51.000000,51.406250,40.091419,248600
2000-07-13,51.625000,51.625000,51.445313,51.476563,40.146244,92600
2000-07-14,51.679688,51.789063,51.460938,51.789063,40.389965,160200
2000-07-17,51.703125,51.835938,51.632813,51.812500,40.408234,26600
